"name","x","y"
"Supermercados Nordestao Ltda - Loja 04","-5.815498357290185","-35.20679500964932"
"Supermercados Nordestao Ltda - Loja 08","-5.797432361030849","-35.21477443242211"
"Supermercados Nordestao Ltda - Loja 9","-5.842156599450737","-35.2011950710474"
"Supermercados Nordestao Ltda - Loja 33","-5.78940775353295","-35.20386826395503"
"Supermercados Nordestao Ltda - Loja 34","-5.847321898799968","-35.2011359731538"
"Supermercados Nordestao Ltda - Loja 51","-5.774454070523013","-35.20181179546664"
"Supermercado Nordestao Ltda","-5.745193246408804","-35.24782786831907"
"RAZÃO SOCIAL: Supermercado Nordestao Ltda","-5.873572267650018","-35.209376575953705"
"CIA BRASILEIRA DE DISTRIBUICAO","-5.799531736189735","-35.232060875185596"
"RAZÃO SOCIAL: CIA BRASILEIRA DE DISTRIBUICAO","-5.799531736189735","-35.232060875185596"
"SUPERMERCADO M S BARROS LTDA","-5.878105460652282","-35.2085664198675"
"RAZÃO SOCIAL: SUPERMERCADO M S BARROS LTDA","-5.878105460652282","-35.2085664198675"
"RAZÃO SOCIAL: SUPERMERCADO M. S. BARROS LTDA","-5.878105460652282","-35.2085664198675"
"RAZÃO SOCIAL: SENDAS DISTRIBUIDORA S/A","-5.864879745497893","-35.218575646143755"
"RAZÃO SOCIAL: Supermercado Ponto Kente Ltda - Epp","-6.195308071807643","-35.1628557595921"
